DoctorID,Region,Specialization,Disease,Drug,NumPrescriptions
Doc_23,Delhi,Neurologist,Cancer,Paclitaxel,13
Doc_24,Mumbai,Gastroenterologist,Asthma,Salbutamol,108
Doc_25,Chennai,Gastroenterologist,Cancer,Cisplatin,200
Doc_25,Chennai,Gastroenterologist,Hypertension,Metoprolol,478
Doc_25,Chennai,Gastroenterologist,Liver Disease,Tenofovir,170
Doc_25,Chennai,Gastroenterologist,Skin Infection,Clindamycin,137
Doc_25,Chennai,Gastroenterologist,Asthma,Budesonide,290
Doc_26,Hyderabad,Endocrinologist,Diabetes,Glipizide,395
Doc_26,Hyderabad,Endocrinologist,Heart Disease,Atorvastatin,282
Doc_26,Hyderabad,Endocrinologist,Skin Infection,Mupirocin,402
Doc_27,Hyderabad,Gastroenterologist,Heart Disease,Aspirin,22
Doc_27,Hyderabad,Gastroenterologist,Skin Infection,Amoxicillin,400
Doc_27,Hyderabad,Gastroenterologist,Diabetes,Metformin,45
Doc_27,Hyderabad,Gastroenterologist,Stroke,Alteplase,29
Doc_27,Hyderabad,Gastroenterologist,Asthma,Budesonide,273
Doc_28,Delhi,Oncologist,Heart Disease,Atorvastatin,199
Doc_28,Delhi,Oncologist,Skin Infection,Clindamycin,159
Doc_28,Delhi,Oncologist,Cancer,Doxorubicin,67
Doc_28,Delhi,Oncologist,Diabetes,Glipizide,314
Doc_29,Hyderabad,Oncologist,Hypertension,Losartan,205
Doc_29,Hyderabad,Oncologist,Asthma,Budesonide,374
Doc_29,Hyderabad,Oncologist,Stroke,Warfarin,56
Doc_30,Kolkata,Gastroenterologist,Asthma,Montelukast,154
Doc_30,Kolkata,Gastroenterologist,Diabetes,Glipizide,284
Doc_30,Kolkata,Gastroenterologist,Cancer,Doxorubicin,448
Doc_30,Kolkata,Gastroenterologist,Stroke,Clopidogrel,238
Doc_31,Chennai,Neurologist,Liver Disease,Ursodeoxycholic Acid,299
Doc_32,Hyderabad,Gastroenterologist,Hypertension,Metoprolol,201
Doc_33,Chennai,Neurologist,Heart Disease,Atorvastatin,95
Doc_33,Chennai,Neurologist,Diabetes,Glipizide,294
Doc_33,Chennai,Neurologist,Liver Disease,Silymarin,229
Doc_33,Chennai,Neurologist,Stroke,Alteplase,56
Doc_33,Chennai,Neurologist,Hypertension,Losartan,103
Doc_34,Bangalore,Dermatologist,Skin Infection,Amoxicillin,231
Doc_34,Bangalore,Dermatologist,Stroke,Clopidogrel,32
Doc_34,Bangalore,Dermatologist,Diabetes,Glipizide,19
Doc_34,Bangalore,Dermatologist,Asthma,Budesonide,334
Doc_35,Bangalore,Oncologist,Stroke,Warfarin,13
Doc_35,Bangalore,Oncologist,Cancer,Cisplatin,267
Doc_36,Bangalore,Gastroenterologist,Liver Disease,Silymarin,436
Doc_36,Bangalore,Gastroenterologist,Cancer,Paclitaxel,277
Doc_36,Bangalore,Gastroenterologist,Stroke,Alteplase,74
Doc_36,Bangalore,Gastroenterologist,Heart Disease,Aspirin,177
Doc_37,Pune,Dermatologist,Cancer,Doxorubicin,467
Doc_37,Pune,Dermatologist,Heart Disease,Clopidogrel,427
Doc_37,Pune,Dermatologist,Stroke,Warfarin,114
Doc_38,Bangalore,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,258
Doc_38,Bangalore,Endocrinologist,Stroke,Alteplase,366
Doc_38,Bangalore,Endocrinologist,Diabetes,Insulin,417
Doc_38,Bangalore,Endocrinologist,Skin Infection,Mupirocin,186
Doc_38,Bangalore,Endocrinologist,Cancer,Doxorubicin,45
Doc_39,Mumbai,Oncologist,Liver Disease,Silymarin,282
Doc_39,Mumbai,Oncologist,Hypertension,Amlodipine,71
Doc_39,Mumbai,Oncologist,Stroke,Alteplase,351
Doc_39,Mumbai,Oncologist,Asthma,Montelukast,196
Doc_39,Mumbai,Oncologist,Cancer,Cisplatin,186
Doc_40,Jaipur,General Physician,Heart Disease,Atorvastatin,153
Doc_40,Jaipur,General Physician,Liver Disease,Tenofovir,78
Doc_40,Jaipur,General Physician,Hypertension,Amlodipine,405
Doc_40,Jaipur,General Physician,Asthma,Montelukast,445
Doc_41,Chennai,Pulmonologist,Asthma,Montelukast,407
Doc_41,Chennai,Pulmonologist,Liver Disease,Silymarin,131
Doc_41,Chennai,Pulmonologist,Skin Infection,Mupirocin,172
Doc_41,Chennai,Pulmonologist,Hypertension,Metoprolol,230
Doc_41,Chennai,Pulmonologist,Stroke,Clopidogrel,340
Doc_42,Jaipur,Endocrinologist,Asthma,Montelukast,443
Doc_42,Jaipur,Endocrinologist,Cancer,Doxorubicin,131
Doc_43,Chennai,Dermatologist,Skin Infection,Amoxicillin,336
Doc_43,Chennai,Dermatologist,Cancer,Doxorubicin,310
Doc_43,Chennai,Dermatologist,Liver Disease,Tenofovir,261
Doc_43,Chennai,Dermatologist,Hypertension,Amlodipine,284
Doc_43,Chennai,Dermatologist,Diabetes,Glipizide,373
Doc_44,Kolkata,General Physician,Heart Disease,Aspirin,229
Doc_44,Kolkata,General Physician,Liver Disease,Silymarin,67
Doc_45,Jaipur,Oncologist,Hypertension,Amlodipine,321
Doc_46,Hyderabad,Dermatologist,Liver Disease,Silymarin,383
Doc_46,Hyderabad,Dermatologist,Hypertension,Amlodipine,212
Doc_47,Bangalore,General Physician,Asthma,Salbutamol,424
Doc_47,Bangalore,General Physician,Liver Disease,Ursodeoxycholic Acid,382
Doc_47,Bangalore,General Physician,Stroke,Warfarin,383
Doc_48,Kolkata,Cardiologist,Asthma,Budesonide,131
Doc_48,Kolkata,Cardiologist,Cancer,Doxorubicin,145
Doc_48,Kolkata,Cardiologist,Diabetes,Glipizide,325
Doc_49,Chennai,Cardiologist,Hypertension,Amlodipine,221
Doc_49,Chennai,Cardiologist,Cancer,Cisplatin,229
Doc_49,Chennai,Cardiologist,Skin Infection,Clindamycin,406
Doc_49,Chennai,Cardiologist,Heart Disease,Atorvastatin,44
Doc_50,Hyderabad,Endocrinologist,Stroke,Alteplase,260
Doc_50,Hyderabad,Endocrinologist,Asthma,Montelukast,14
Doc_50,Hyderabad,Endocrinologist,Skin Infection,Clindamycin,298
Doc_51,Mumbai,Endocrinologist,Skin Infection,Amoxicillin,186
Doc_52,Mumbai,Endocrinologist,Stroke,Alteplase,485
Doc_53,Chennai,Oncologist,Cancer,Paclitaxel,467
Doc_53,Chennai,Oncologist,Hypertension,Amlodipine,154
Doc_53,Chennai,Oncologist,Skin Infection,Amoxicillin,87
Doc_53,Chennai,Oncologist,Diabetes,Metformin,375
Doc_53,Chennai,Oncologist,Liver Disease,Silymarin,60
Doc_54,Bangalore,Neurologist,Liver Disease,Tenofovir,127
Doc_55,Pune,Pulmonologist,Liver Disease,Tenofovir,264
Doc_56,Kolkata,Oncologist,Diabetes,Glipizide,201
Doc_56,Kolkata,Oncologist,Cancer,Doxorubicin,303
Doc_56,Kolkata,Oncologist,Skin Infection,Clindamycin,107
Doc_56,Kolkata,Oncologist,Liver Disease,Tenofovir,295
Doc_56,Kolkata,Oncologist,Asthma,Montelukast,356
Doc_57,Pune,Pulmonologist,Heart Disease,Aspirin,294
Doc_58,Ahmedabad,Cardiologist,Asthma,Salbutamol,459
Doc_58,Ahmedabad,Cardiologist,Liver Disease,Tenofovir,135
Doc_59,Delhi,Oncologist,Hypertension,Metoprolol,361
Doc_60,Pune,Dermatologist,Cancer,Cisplatin,31
Doc_60,Pune,Dermatologist,Diabetes,Metformin,335
Doc_61,Chennai,Cardiologist,Asthma,Salbutamol,420
Doc_61,Chennai,Cardiologist,Heart Disease,Atorvastatin,291
Doc_61,Chennai,Cardiologist,Skin Infection,Amoxicillin,56
Doc_61,Chennai,Cardiologist,Cancer,Paclitaxel,223
Doc_62,Ahmedabad,Neurologist,Asthma,Montelukast,122
Doc_62,Ahmedabad,Neurologist,Liver Disease,Tenofovir,262
Doc_62,Ahmedabad,Neurologist,Stroke,Warfarin,312
Doc_63,Ahmedabad,Neurologist,Liver Disease,Tenofovir,196
Doc_63,Ahmedabad,Neurologist,Asthma,Montelukast,16
Doc_64,Kolkata,Neurologist,Asthma,Montelukast,380
Doc_64,Kolkata,Neurologist,Diabetes,Metformin,201
Doc_64,Kolkata,Neurologist,Liver Disease,Silymarin,128
Doc_65,Lucknow,Oncologist,Skin Infection,Amoxicillin,22
Doc_66,Bangalore,Endocrinologist,Liver Disease,Silymarin,120
Doc_66,Bangalore,Endocrinologist,Cancer,Paclitaxel,245
Doc_66,Bangalore,Endocrinologist,Stroke,Alteplase,51
Doc_67,Chennai,Neurologist,Heart Disease,Atorvastatin,386
Doc_67,Chennai,Neurologist,Skin Infection,Clindamycin,446
Doc_67,Chennai,Neurologist,Cancer,Doxorubicin,286
Doc_67,Chennai,Neurologist,Diabetes,Insulin,79
Doc_68,Bangalore,Neurologist,Hypertension,Amlodipine,40
Doc_68,Bangalore,Neurologist,Heart Disease,Clopidogrel,45
Doc_68,Bangalore,Neurologist,Skin Infection,Clindamycin,15
Doc_69,Bangalore,Pulmonologist,Asthma,Salbutamol,71
Doc_69,Bangalore,Pulmonologist,Heart Disease,Clopidogrel,203
Doc_69,Bangalore,Pulmonologist,Liver Disease,Ursodeoxycholic Acid,212
Doc_70,Delhi,Dermatologist,Liver Disease,Tenofovir,122
Doc_70,Delhi,Dermatologist,Cancer,Doxorubicin,10
Doc_70,Delhi,Dermatologist,Diabetes,Glipizide,151
Doc_70,Delhi,Dermatologist,Asthma,Budesonide,302
Doc_71,Bangalore,Dermatologist,Liver Disease,Ursodeoxycholic Acid,416
Doc_71,Bangalore,Dermatologist,Cancer,Doxorubicin,181
Doc_71,Bangalore,Dermatologist,Heart Disease,Aspirin,22
Doc_72,Bangalore,Cardiologist,Skin Infection,Clindamycin,428
Doc_72,Bangalore,Cardiologist,Stroke,Alteplase,104
Doc_72,Bangalore,Cardiologist,Hypertension,Losartan,78
Doc_72,Bangalore,Cardiologist,Heart Disease,Aspirin,453
Doc_72,Bangalore,Cardiologist,Asthma,Salbutamol,343
Doc_73,Ahmedabad,General Physician,Cancer,Cisplatin,329
Doc_74,Ahmedabad,General Physician,Hypertension,Metoprolol,348
Doc_75,Lucknow,Neurologist,Cancer,Paclitaxel,23
Doc_75,Lucknow,Neurologist,Skin Infection,Clindamycin,134
Doc_75,Lucknow,Neurologist,Asthma,Montelukast,362
Doc_75,Lucknow,Neurologist,Stroke,Warfarin,72
Doc_76,Mumbai,Cardiologist,Stroke,Clopidogrel,444
Doc_77,Hyderabad,General Physician,Asthma,Salbutamol,420
Doc_77,Hyderabad,General Physician,Stroke,Alteplase,47
Doc_77,Hyderabad,General Physician,Cancer,Cisplatin,106
Doc_78,Chennai,General Physician,Cancer,Cisplatin,339
Doc_79,Hyderabad,Neurologist,Hypertension,Amlodipine,145
Doc_79,Hyderabad,Neurologist,Diabetes,Insulin,166
Doc_79,Hyderabad,Neurologist,Asthma,Salbutamol,333
Doc_79,Hyderabad,Neurologist,Stroke,Warfarin,139
Doc_79,Hyderabad,Neurologist,Heart Disease,Clopidogrel,104
Doc_80,Delhi,Pulmonologist,Diabetes,Glipizide,339
Doc_80,Delhi,Pulmonologist,Liver Disease,Tenofovir,143
Doc_80,Delhi,Pulmonologist,Stroke,Clopidogrel,312
Doc_80,Delhi,Pulmonologist,Skin Infection,Mupirocin,311
Doc_81,Lucknow,Dermatologist,Heart Disease,Clopidogrel,302
Doc_81,Lucknow,Dermatologist,Hypertension,Amlodipine,115
Doc_82,Lucknow,Cardiologist,Skin Infection,Amoxicillin,110
Doc_82,Lucknow,Cardiologist,Hypertension,Losartan,355
Doc_82,Lucknow,Cardiologist,Cancer,Doxorubicin,429
Doc_83,Kolkata,Cardiologist,Hypertension,Losartan,146
Doc_84,Bangalore,Cardiologist,Stroke,Clopidogrel,303
Doc_84,Bangalore,Cardiologist,Heart Disease,Aspirin,400
Doc_84,Bangalore,Cardiologist,Liver Disease,Ursodeoxycholic Acid,484
Doc_84,Bangalore,Cardiologist,Cancer,Cisplatin,356
Doc_84,Bangalore,Cardiologist,Skin Infection,Mupirocin,137
Doc_85,Delhi,Neurologist,Hypertension,Metoprolol,294
Doc_86,Hyderabad,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,157
Doc_86,Hyderabad,Endocrinologist,Asthma,Montelukast,351
Doc_86,Hyderabad,Endocrinologist,Cancer,Cisplatin,198
Doc_86,Hyderabad,Endocrinologist,Skin Infection,Amoxicillin,336
Doc_87,Kolkata,General Physician,Hypertension,Metoprolol,295
Doc_87,Kolkata,General Physician,Cancer,Cisplatin,27
Doc_87,Kolkata,General Physician,Skin Infection,Mupirocin,87
Doc_88,Pune,Endocrinologist,Skin Infection,Mupirocin,422
Doc_88,Pune,Endocrinologist,Cancer,Paclitaxel,368
Doc_88,Pune,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,297
Doc_88,Pune,Endocrinologist,Heart Disease,Clopidogrel,467
Doc_89,Pune,Pulmonologist,Stroke,Alteplase,330
Doc_90,Kolkata,General Physician,Hypertension,Amlodipine,60
Doc_90,Kolkata,General Physician,Skin Infection,Mupirocin,101
Doc_90,Kolkata,General Physician,Liver Disease,Ursodeoxycholic Acid,273
Doc_91,Delhi,Gastroenterologist,Asthma,Montelukast,232
Doc_91,Delhi,Gastroenterologist,Stroke,Clopidogrel,441
Doc_91,Delhi,Gastroenterologist,Diabetes,Glipizide,16
Doc_92,Kolkata,Cardiologist,Cancer,Paclitaxel,394
Doc_92,Kolkata,Cardiologist,Stroke,Warfarin,206
Doc_92,Kolkata,Cardiologist,Hypertension,Metoprolol,243
Doc_92,Kolkata,Cardiologist,Diabetes,Insulin,395
Doc_92,Kolkata,Cardiologist,Skin Infection,Mupirocin,480
Doc_93,Bangalore,Dermatologist,Skin Infection,Amoxicillin,351
Doc_93,Bangalore,Dermatologist,Heart Disease,Aspirin,211
Doc_93,Bangalore,Dermatologist,Asthma,Montelukast,129
Doc_93,Bangalore,Dermatologist,Cancer,Cisplatin,224
Doc_93,Bangalore,Dermatologist,Hypertension,Metoprolol,379
Doc_94,Mumbai,Neurologist,Skin Infection,Mupirocin,287
Doc_95,Bangalore,Endocrinologist,Diabetes,Metformin,137
Doc_95,Bangalore,Endocrinologist,Skin Infection,Amoxicillin,51
Doc_96,Hyderabad,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,371
Doc_97,Chennai,General Physician,Heart Disease,Clopidogrel,318
Doc_98,Lucknow,Dermatologist,Diabetes,Insulin,319
Doc_99,Mumbai,General Physician,Liver Disease,Silymarin,20
Doc_99,Mumbai,General Physician,Stroke,Warfarin,196
Doc_99,Mumbai,General Physician,Cancer,Paclitaxel,241
Doc_99,Mumbai,General Physician,Diabetes,Glipizide,319
Doc_99,Mumbai,General Physician,Heart Disease,Clopidogrel,64
Doc_100,Ahmedabad,Neurologist,Stroke,Warfarin,253
Doc_100,Ahmedabad,Neurologist,Cancer,Doxorubicin,346
Doc_100,Ahmedabad,Neurologist,Heart Disease,Clopidogrel,374
Doc_100,Ahmedabad,Neurologist,Asthma,Salbutamol,491
Doc_100,Ahmedabad,Neurologist,Skin Infection,Clindamycin,163
Doc_101,Chennai,Cardiologist,Skin Infection,Amoxicillin,51
Doc_102,Kolkata,General Physician,Diabetes,Insulin,363
Doc_102,Kolkata,General Physician,Cancer,Paclitaxel,110
Doc_102,Kolkata,General Physician,Liver Disease,Silymarin,314
Doc_103,Mumbai,Endocrinologist,Hypertension,Metoprolol,90
Doc_104,Chennai,Neurologist,Stroke,Warfarin,35
Doc_105,Lucknow,Gastroenterologist,Skin Infection,Mupirocin,126
Doc_106,Jaipur,General Physician,Diabetes,Insulin,432
Doc_106,Jaipur,General Physician,Skin Infection,Mupirocin,411
Doc_107,Lucknow,Oncologist,Liver Disease,Silymarin,140
Doc_108,Ahmedabad,Endocrinologist,Asthma,Budesonide,406
Doc_108,Ahmedabad,Endocrinologist,Heart Disease,Atorvastatin,170
Doc_108,Ahmedabad,Endocrinologist,Hypertension,Losartan,435
Doc_108,Ahmedabad,Endocrinologist,Stroke,Warfarin,459
Doc_109,Delhi,Endocrinologist,Skin Infection,Clindamycin,48
Doc_109,Delhi,Endocrinologist,Diabetes,Glipizide,38
Doc_110,Mumbai,Dermatologist,Asthma,Salbutamol,368
Doc_110,Mumbai,Dermatologist,Heart Disease,Aspirin,74
Doc_110,Mumbai,Dermatologist,Stroke,Warfarin,186
Doc_110,Mumbai,Dermatologist,Hypertension,Losartan,438
Doc_110,Mumbai,Dermatologist,Cancer,Doxorubicin,385
Doc_111,Pune,Pulmonologist,Asthma,Montelukast,82
Doc_111,Pune,Pulmonologist,Skin Infection,Amoxicillin,314
Doc_112,Ahmedabad,Pulmonologist,Skin Infection,Mupirocin,207
Doc_112,Ahmedabad,Pulmonologist,Cancer,Paclitaxel,449
Doc_112,Ahmedabad,Pulmonologist,Liver Disease,Tenofovir,311
Doc_112,Ahmedabad,Pulmonologist,Diabetes,Metformin,71
Doc_113,Pune,Cardiologist,Stroke,Alteplase,252
Doc_113,Pune,Cardiologist,Diabetes,Glipizide,375
Doc_113,Pune,Cardiologist,Hypertension,Losartan,116
Doc_113,Pune,Cardiologist,Cancer,Doxorubicin,322
Doc_114,Jaipur,Cardiologist,Skin Infection,Amoxicillin,186
Doc_114,Jaipur,Cardiologist,Diabetes,Glipizide,108
Doc_115,Mumbai,Dermatologist,Cancer,Paclitaxel,12
Doc_115,Mumbai,Dermatologist,Skin Infection,Amoxicillin,495
Doc_115,Mumbai,Dermatologist,Diabetes,Metformin,129
Doc_116,Jaipur,Cardiologist,Liver Disease,Silymarin,485
Doc_116,Jaipur,Cardiologist,Skin Infection,Mupirocin,146
Doc_116,Jaipur,Cardiologist,Cancer,Doxorubicin,418
Doc_116,Jaipur,Cardiologist,Diabetes,Glipizide,341
Doc_117,Jaipur,Oncologist,Diabetes,Insulin,337
Doc_118,Chennai,Gastroenterologist,Asthma,Salbutamol,462
Doc_118,Chennai,Gastroenterologist,Liver Disease,Ursodeoxycholic Acid,90
Doc_119,Ahmedabad,Dermatologist,Heart Disease,Atorvastatin,246
Doc_119,Ahmedabad,Dermatologist,Diabetes,Insulin,271
Doc_119,Ahmedabad,Dermatologist,Stroke,Alteplase,345
Doc_119,Ahmedabad,Dermatologist,Skin Infection,Mupirocin,68
Doc_119,Ahmedabad,Dermatologist,Cancer,Cisplatin,313
Doc_120,Jaipur,Dermatologist,Hypertension,Losartan,54
Doc_120,Jaipur,Dermatologist,Heart Disease,Clopidogrel,258
Doc_121,Kolkata,Endocrinologist,Diabetes,Metformin,86
Doc_121,Kolkata,Endocrinologist,Cancer,Paclitaxel,21
Doc_122,Pune,Gastroenterologist,Skin Infection,Amoxicillin,197
Doc_122,Pune,Gastroenterologist,Hypertension,Losartan,172
Doc_122,Pune,Gastroenterologist,Cancer,Doxorubicin,476
Doc_122,Pune,Gastroenterologist,Heart Disease,Aspirin,464
Doc_122,Pune,Gastroenterologist,Liver Disease,Ursodeoxycholic Acid,242
Doc_123,Chennai,Dermatologist,Heart Disease,Atorvastatin,415
Doc_123,Chennai,Dermatologist,Stroke,Clopidogrel,403
Doc_123,Chennai,Dermatologist,Diabetes,Glipizide,202
Doc_123,Chennai,Dermatologist,Asthma,Montelukast,483
Doc_124,Pune,Endocrinologist,Heart Disease,Atorvastatin,16
Doc_124,Pune,Endocrinologist,Hypertension,Amlodipine,404
Doc_124,Pune,Endocrinologist,Diabetes,Insulin,143
Doc_124,Pune,Endocrinologist,Cancer,Paclitaxel,88
Doc_124,Pune,Endocrinologist,Stroke,Clopidogrel,468
Doc_125,Kolkata,Endocrinologist,Cancer,Paclitaxel,498
Doc_125,Kolkata,Endocrinologist,Liver Disease,Tenofovir,280
Doc_126,Bangalore,Gastroenterologist,Hypertension,Amlodipine,391
Doc_126,Bangalore,Gastroenterologist,Diabetes,Insulin,30
Doc_127,Chennai,General Physician,Hypertension,Losartan,67
Doc_127,Chennai,General Physician,Liver Disease,Ursodeoxycholic Acid,24
Doc_127,Chennai,General Physician,Skin Infection,Mupirocin,454
Doc_127,Chennai,General Physician,Cancer,Cisplatin,329
Doc_128,Jaipur,Gastroenterologist,Heart Disease,Atorvastatin,154
Doc_128,Jaipur,Gastroenterologist,Diabetes,Insulin,318
Doc_128,Jaipur,Gastroenterologist,Liver Disease,Ursodeoxycholic Acid,36
Doc_128,Jaipur,Gastroenterologist,Stroke,Warfarin,59
Doc_129,Delhi,Dermatologist,Liver Disease,Ursodeoxycholic Acid,162
Doc_129,Delhi,Dermatologist,Diabetes,Insulin,215
Doc_129,Delhi,Dermatologist,Stroke,Clopidogrel,282
Doc_129,Delhi,Dermatologist,Cancer,Cisplatin,245
Doc_130,Hyderabad,Gastroenterologist,Liver Disease,Tenofovir,81
Doc_131,Mumbai,Gastroenterologist,Cancer,Cisplatin,111
Doc_131,Mumbai,Gastroenterologist,Heart Disease,Clopidogrel,401
Doc_131,Mumbai,Gastroenterologist,Skin Infection,Mupirocin,223
Doc_131,Mumbai,Gastroenterologist,Diabetes,Metformin,97
Doc_131,Mumbai,Gastroenterologist,Asthma,Salbutamol,410
Doc_132,Hyderabad,Neurologist,Asthma,Salbutamol,234
Doc_132,Hyderabad,Neurologist,Heart Disease,Atorvastatin,242
Doc_132,Hyderabad,Neurologist,Cancer,Cisplatin,423
Doc_132,Hyderabad,Neurologist,Liver Disease,Ursodeoxycholic Acid,86
Doc_133,Hyderabad,Oncologist,Diabetes,Insulin,115
Doc_133,Hyderabad,Oncologist,Skin Infection,Amoxicillin,437
Doc_134,Ahmedabad,General Physician,Skin Infection,Amoxicillin,232
Doc_134,Ahmedabad,General Physician,Cancer,Doxorubicin,379
Doc_134,Ahmedabad,General Physician,Heart Disease,Aspirin,357
Doc_134,Ahmedabad,General Physician,Hypertension,Losartan,93
Doc_134,Ahmedabad,General Physician,Diabetes,Insulin,120
Doc_135,Kolkata,General Physician,Asthma,Montelukast,12
Doc_135,Kolkata,General Physician,Diabetes,Glipizide,306
Doc_135,Kolkata,General Physician,Cancer,Paclitaxel,23
Doc_135,Kolkata,General Physician,Heart Disease,Aspirin,475
Doc_136,Kolkata,Pulmonologist,Liver Disease,Silymarin,365
Doc_136,Kolkata,Pulmonologist,Cancer,Cisplatin,401
Doc_136,Kolkata,Pulmonologist,Skin Infection,Amoxicillin,128
Doc_136,Kolkata,Pulmonologist,Stroke,Warfarin,192
Doc_136,Kolkata,Pulmonologist,Hypertension,Losartan,309
Doc_137,Hyderabad,Endocrinologist,Skin Infection,Amoxicillin,44
Doc_137,Hyderabad,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,102
Doc_137,Hyderabad,Endocrinologist,Hypertension,Metoprolol,456
Doc_138,Mumbai,Oncologist,Asthma,Budesonide,229
Doc_138,Mumbai,Oncologist,Cancer,Doxorubicin,29
Doc_138,Mumbai,Oncologist,Skin Infection,Mupirocin,186
Doc_138,Mumbai,Oncologist,Liver Disease,Silymarin,105
